Time: 0.99 min, Glucose Level: 101.109 mg/dL
Time: 55.99 min, Glucose Level: 157.458 mg/dL
Time: 56.99 min, Glucose Level: 158.368 mg/dL
Time: 57.99 min, Glucose Level: 159.274 mg/dL
Time: 58.99 min, Glucose Level: 160.174 mg/dL
Time: 59.99 min, Glucose Level: 161.068 mg/dL
Time: 60.99 min, Glucose Level: 161.956 mg/dL
Time: 61.99 min, Glucose Level: 162.839 mg/dL
Time: 62.99 min, Glucose Level: 163.716 mg/dL
Time: 63.99 min, Glucose Level: 164.588 mg/dL
Time: 64.99 min, Glucose Level: 165.453 mg/dL
Time: 65.99 min, Glucose Level: 166.313 mg/dL
Time: 66.99 min, Glucose Level: 167.166 mg/dL
Time: 67.99 min, Glucose Level: 168.014 mg/dL
Time: 68.99 min, Glucose Level: 168.855 mg/dL
Time: 69.99 min, Glucose Level: 169.69 mg/dL
Time: 70.99 min, Glucose Level: 170.518 mg/dL
Time: 71.99 min, Glucose Level: 171.341 mg/dL
Time: 72.99 min, Glucose Level: 172.156 mg/dL
Time: 73.99 min, Glucose Level: 172.966 mg/dL
Time: 74.99 min, Glucose Level: 173.769 mg/dL
Time: 75.99 min, Glucose Level: 174.565 mg/dL
Time: 76.99 min, Glucose Level: 175.354 mg/dL
Time: 77.99 min, Glucose Level: 176.137 mg/dL
Time: 78.99 min, Glucose Level: 176.913 mg/dL
Time: 79.99 min, Glucose Level: 177.683 mg/dL
Time: 80.99 min, Glucose Level: 178.445 mg/dL
Time: 81.99 min, Glucose Level: 179.2 mg/dL
Time: 82.99 min, Glucose Level: 179.949 mg/dL
Time: 83.99 min, Glucose Level: 180.69 mg/dL
Time: 84.99 min, Glucose Level: 181.425 mg/dL
Time: 85.99 min, Glucose Level: 182.152 mg/dL
Time: 86.99 min, Glucose Level: 182.872 mg/dL
Time: 87.99 min, Glucose Level: 183.585 mg/dL
Time: 88.99 min, Glucose Level: 184.29 mg/dL
Time: 89.99 min, Glucose Level: 184.988 mg/dL
Time: 90.99 min, Glucose Level: 185.679 mg/dL
Time: 91.99 min, Glucose Level: 186.363 mg/dL
Time: 92.99 min, Glucose Level: 187.039 mg/dL
Time: 93.99 min, Glucose Level: 187.708 mg/dL
Time: 94.99 min, Glucose Level: 188.369 mg/dL
Time: 95.99 min, Glucose Level: 189.023 mg/dL
Time: 96.99 min, Glucose Level: 189.669 mg/dL
Time: 97.99 min, Glucose Level: 190.307 mg/dL
Time: 98.99 min, Glucose Level: 190.938 mg/dL
Time: 99.99 min, Glucose Level: 191.562 mg/dL
Time: 100.99 min, Glucose Level: 192.178 mg/dL
Time: 101.99 min, Glucose Level: 192.786 mg/dL
Time: 102.99 min, Glucose Level: 193.386 mg/dL
Time: 103.99 min, Glucose Level: 193.979 mg/dL
Time: 104.99 min, Glucose Level: 194.563 mg/dL
Time: 105.99 min, Glucose Level: 195.141 mg/dL
Time: 106.99 min, Glucose Level: 195.71 mg/dL
Time: 107.99 min, Glucose Level: 196.272 mg/dL
Time: 108.99 min, Glucose Level: 196.826 mg/dL
Time: 109.99 min, Glucose Level: 197.372 mg/dL
Time: 110.99 min, Glucose Level: 197.91 mg/dL
Time: 111.99 min, Glucose Level: 198.44 mg/dL
Time: 112.99 min, Glucose Level: 198.963 mg/dL
Time: 113.99 min, Glucose Level: 199.478 mg/dL
Time: 114.99 min, Glucose Level: 199.985 mg/dL
Time: 115.99 min, Glucose Level: 200.484 mg/dL
Time: 116.99 min, Glucose Level: 200.975 mg/dL
Time: 117.99 min, Glucose Level: 201.459 mg/dL
Time: 118.99 min, Glucose Level: 201.935 mg/dL
Time: 119.99 min, Glucose Level: 202.402 mg/dL
Time: 120.99 min, Glucose Level: 202.863 mg/dL
Time: 121.99 min, Glucose Level: 203.315 mg/dL
Time: 122.99 min, Glucose Level: 203.759 mg/dL
Time: 123.99 min, Glucose Level: 204.196 mg/dL
Time: 124.99 min, Glucose Level: 204.625 mg/dL
Time: 125.99 min, Glucose Level: 205.046 mg/dL
Time: 126.99 min, Glucose Level: 205.46 mg/dL
Time: 127.99 min, Glucose Level: 205.865 mg/dL
Time: 128.99 min, Glucose Level: 206.263 mg/dL
Time: 129.99 min, Glucose Level: 206.654 mg/dL
Time: 130.99 min, Glucose Level: 207.036 mg/dL
Time: 131.99 min, Glucose Level: 207.411 mg/dL
Time: 132.99 min, Glucose Level: 207.778 mg/dL
Time: 133.99 min, Glucose Level: 208.138 mg/dL
Time: 134.99 min, Glucose Level: 208.49 mg/dL
Time: 135.99 min, Glucose Level: 208.835 mg/dL
Time: 136.99 min, Glucose Level: 209.172 mg/dL
Time: 137.99 min, Glucose Level: 209.502 mg/dL
Time: 138.99 min, Glucose Level: 209.824 mg/dL
Time: 139.99 min, Glucose Level: 210.138 mg/dL
Time: 140.99 min, Glucose Level: 210.446 mg/dL
Time: 141.99 min, Glucose Level: 210.746 mg/dL
Time: 142.99 min, Glucose Level: 211.038 mg/dL
Time: 143.99 min, Glucose Level: 211.323 mg/dL
Time: 144.99 min, Glucose Level: 211.601 mg/dL
Time: 145.99 min, Glucose Level: 211.872 mg/dL
Time: 146.99 min, Glucose Level: 212.135 mg/dL
Time: 147.99 min, Glucose Level: 212.392 mg/dL
Time: 148.99 min, Glucose Level: 212.641 mg/dL
Time: 149.99 min, Glucose Level: 212.883 mg/dL
Time: 150.99 min, Glucose Level: 213.118 mg/dL
Time: 151.99 min, Glucose Level: 213.346 mg/dL
Time: 152.99 min, Glucose Level: 213.567 mg/dL
Time: 153.99 min, Glucose Level: 213.782 mg/dL
Time: 154.99 min, Glucose Level: 213.989 mg/dL
Time: 155.99 min, Glucose Level: 214.189 mg/dL
Time: 156.99 min, Glucose Level: 214.383 mg/dL
Time: 157.99 min, Glucose Level: 214.57 mg/dL
Time: 158.99 min, Glucose Level: 214.75 mg/dL
Time: 159.99 min, Glucose Level: 214.924 mg/dL
Time: 160.99 min, Glucose Level: 215.091 mg/dL
Time: 161.99 min, Glucose Level: 215.252 mg/dL
Time: 162.99 min, Glucose Level: 215.406 mg/dL
Time: 163.99 min, Glucose Level: 215.553 mg/dL
Time: 164.99 min, Glucose Level: 215.695 mg/dL
Time: 165.99 min, Glucose Level: 215.829 mg/dL
Time: 166.99 min, Glucose Level: 215.958 mg/dL
Time: 167.99 min, Glucose Level: 216.08 mg/dL
Time: 168.99 min, Glucose Level: 216.197 mg/dL
Time: 169.99 min, Glucose Level: 216.307 mg/dL
Time: 170.99 min, Glucose Level: 216.411 mg/dL
Time: 171.99 min, Glucose Level: 216.508 mg/dL
Time: 172.99 min, Glucose Level: 216.6 mg/dL
Time: 173.99 min, Glucose Level: 216.686 mg/dL
Time: 174.99 min, Glucose Level: 216.767 mg/dL
Time: 175.99 min, Glucose Level: 216.841 mg/dL
Time: 176.99 min, Glucose Level: 216.91 mg/dL
Time: 177.99 min, Glucose Level: 216.973 mg/dL
Time: 178.99 min, Glucose Level: 217.03 mg/dL
Time: 179.99 min, Glucose Level: 217.082 mg/dL
Time: 180.99 min, Glucose Level: 217.128 mg/dL
Time: 181.99 min, Glucose Level: 217.169 mg/dL
Time: 182.99 min, Glucose Level: 217.204 mg/dL
Time: 183.99 min, Glucose Level: 217.234 mg/dL
Time: 184.99 min, Glucose Level: 217.259 mg/dL
Time: 185.99 min, Glucose Level: 217.278 mg/dL
Time: 186.99 min, Glucose Level: 217.293 mg/dL
Time: 187.99 min, Glucose Level: 217.302 mg/dL
Time: 188.99 min, Glucose Level: 217.306 mg/dL
Time: 189.99 min, Glucose Level: 217.305 mg/dL
Time: 190.99 min, Glucose Level: 217.3 mg/dL
Time: 191.99 min, Glucose Level: 217.289 mg/dL
Time: 192.99 min, Glucose Level: 217.274 mg/dL
Time: 193.99 min, Glucose Level: 217.253 mg/dL
Time: 194.99 min, Glucose Level: 217.228 mg/dL
Time: 195.99 min, Glucose Level: 217.199 mg/dL
Time: 196.99 min, Glucose Level: 217.165 mg/dL
Time: 197.99 min, Glucose Level: 217.126 mg/dL
Time: 198.99 min, Glucose Level: 217.083 mg/dL
Time: 199.99 min, Glucose Level: 217.035 mg/dL
Time: 200.99 min, Glucose Level: 216.983 mg/dL
Time: 201.99 min, Glucose Level: 216.927 mg/dL
Time: 202.99 min, Glucose Level: 216.867 mg/dL
Time: 203.99 min, Glucose Level: 216.802 mg/dL
Time: 204.99 min, Glucose Level: 216.733 mg/dL
Time: 205.99 min, Glucose Level: 216.661 mg/dL
Time: 206.99 min, Glucose Level: 216.584 mg/dL
Time: 207.99 min, Glucose Level: 216.503 mg/dL
Time: 208.99 min, Glucose Level: 216.418 mg/dL
Time: 209.99 min, Glucose Level: 216.33 mg/dL
Time: 210.99 min, Glucose Level: 216.238 mg/dL
Time: 211.99 min, Glucose Level: 216.142 mg/dL
Time: 212.99 min, Glucose Level: 216.042 mg/dL
Time: 213.99 min, Glucose Level: 215.939 mg/dL
Time: 214.99 min, Glucose Level: 215.832 mg/dL
Time: 215.99 min, Glucose Level: 215.722 mg/dL
Time: 216.99 min, Glucose Level: 215.608 mg/dL
Time: 217.99 min, Glucose Level: 215.491 mg/dL
Time: 218.99 min, Glucose Level: 215.371 mg/dL
Time: 219.99 min, Glucose Level: 215.247 mg/dL
Time: 220.99 min, Glucose Level: 215.12 mg/dL
Time: 221.99 min, Glucose Level: 214.99 mg/dL
Time: 222.99 min, Glucose Level: 214.857 mg/dL
Time: 223.99 min, Glucose Level: 214.721 mg/dL
Time: 224.99 min, Glucose Level: 214.582 mg/dL
Time: 225.99 min, Glucose Level: 214.44 mg/dL
Time: 226.99 min, Glucose Level: 214.295 mg/dL
Time: 227.99 min, Glucose Level: 214.147 mg/dL
Time: 228.99 min, Glucose Level: 213.996 mg/dL
Time: 229.99 min, Glucose Level: 213.843 mg/dL
Time: 230.99 min, Glucose Level: 213.687 mg/dL
Time: 231.99 min, Glucose Level: 213.528 mg/dL
Time: 232.99 min, Glucose Level: 213.367 mg/dL
Time: 233.99 min, Glucose Level: 213.203 mg/dL
Time: 234.99 min, Glucose Level: 213.037 mg/dL
Time: 235.99 min, Glucose Level: 212.868 mg/dL
Time: 236.99 min, Glucose Level: 212.697 mg/dL
Time: 237.99 min, Glucose Level: 212.523 mg/dL
Time: 238.99 min, Glucose Level: 212.348 mg/dL
Time: 239.99 min, Glucose Level: 212.17 mg/dL
Time: 240.99 min, Glucose Level: 211.989 mg/dL
Time: 241.99 min, Glucose Level: 211.807 mg/dL
Time: 242.99 min, Glucose Level: 211.623 mg/dL
Time: 243.99 min, Glucose Level: 211.436 mg/dL
Time: 244.99 min, Glucose Level: 211.248 mg/dL
Time: 245.99 min, Glucose Level: 211.057 mg/dL
Time: 246.99 min, Glucose Level: 210.865 mg/dL
Time: 247.99 min, Glucose Level: 210.671 mg/dL
Time: 248.99 min, Glucose Level: 210.475 mg/dL
Time: 249.99 min, Glucose Level: 210.277 mg/dL
Time: 250.99 min, Glucose Level: 210.078 mg/dL
Time: 251.99 min, Glucose Level: 209.876 mg/dL
Time: 252.99 min, Glucose Level: 209.673 mg/dL
Time: 253.99 min, Glucose Level: 209.469 mg/dL
Time: 254.99 min, Glucose Level: 209.263 mg/dL
Time: 255.99 min, Glucose Level: 209.055 mg/dL
Time: 256.99 min, Glucose Level: 208.846 mg/dL
Time: 257.99 min, Glucose Level: 208.636 mg/dL
Time: 258.99 min, Glucose Level: 208.424 mg/dL
Time: 259.99 min, Glucose Level: 208.211 mg/dL
Time: 260.99 min, Glucose Level: 207.996 mg/dL
Time: 261.99 min, Glucose Level: 207.78 mg/dL
Time: 262.99 min, Glucose Level: 207.563 mg/dL
Time: 263.99 min, Glucose Level: 207.345 mg/dL
Time: 264.99 min, Glucose Level: 207.125 mg/dL
Time: 265.99 min, Glucose Level: 206.905 mg/dL
Time: 266.99 min, Glucose Level: 206.683 mg/dL
Time: 267.99 min, Glucose Level: 206.46 mg/dL
Time: 268.99 min, Glucose Level: 206.236 mg/dL
Time: 269.99 min, Glucose Level: 206.012 mg/dL
Time: 270.99 min, Glucose Level: 205.786 mg/dL
Time: 271.99 min, Glucose Level: 205.559 mg/dL
Time: 272.99 min, Glucose Level: 205.332 mg/dL
Time: 273.99 min, Glucose Level: 205.103 mg/dL
Time: 274.99 min, Glucose Level: 204.874 mg/dL
Time: 275.99 min, Glucose Level: 204.644 mg/dL
Time: 276.99 min, Glucose Level: 204.414 mg/dL
Time: 277.99 min, Glucose Level: 204.182 mg/dL
Time: 278.99 min, Glucose Level: 203.95 mg/dL
Time: 279.99 min, Glucose Level: 203.717 mg/dL
Time: 280.99 min, Glucose Level: 203.484 mg/dL
Time: 281.99 min, Glucose Level: 203.25 mg/dL
Time: 282.99 min, Glucose Level: 203.015 mg/dL
Time: 283.99 min, Glucose Level: 202.78 mg/dL
Time: 284.99 min, Glucose Level: 202.544 mg/dL
Time: 285.99 min, Glucose Level: 202.308 mg/dL
Time: 286.99 min, Glucose Level: 202.072 mg/dL
Time: 287.99 min, Glucose Level: 201.835 mg/dL
Time: 288.99 min, Glucose Level: 201.598 mg/dL
Time: 289.99 min, Glucose Level: 201.36 mg/dL
Time: 290.99 min, Glucose Level: 201.122 mg/dL
Time: 291.99 min, Glucose Level: 200.883 mg/dL
Time: 292.99 min, Glucose Level: 200.645 mg/dL
Time: 293.99 min, Glucose Level: 200.406 mg/dL
Time: 294.99 min, Glucose Level: 200.167 mg/dL
Time: 295.99 min, Glucose Level: 199.928 mg/dL
Time: 296.99 min, Glucose Level: 199.688 mg/dL
Time: 297.99 min, Glucose Level: 199.448 mg/dL
Time: 298.99 min, Glucose Level: 199.208 mg/dL
Time: 299.99 min, Glucose Level: 198.969 mg/dL
Time: 300.99 min, Glucose Level: 198.729 mg/dL
Time: 301.99 min, Glucose Level: 198.488 mg/dL
Time: 302.99 min, Glucose Level: 198.248 mg/dL
Time: 303.99 min, Glucose Level: 198.008 mg/dL
Time: 304.99 min, Glucose Level: 197.768 mg/dL
Time: 305.99 min, Glucose Level: 197.528 mg/dL
Time: 306.99 min, Glucose Level: 197.288 mg/dL
Time: 307.99 min, Glucose Level: 197.048 mg/dL
Time: 308.99 min, Glucose Level: 196.808 mg/dL
Time: 309.99 min, Glucose Level: 196.568 mg/dL
Time: 310.99 min, Glucose Level: 196.328 mg/dL
Time: 311.99 min, Glucose Level: 196.089 mg/dL
Time: 312.99 min, Glucose Level: 195.849 mg/dL
Time: 313.99 min, Glucose Level: 195.61 mg/dL
Time: 314.99 min, Glucose Level: 195.371 mg/dL
Time: 315.99 min, Glucose Level: 195.132 mg/dL
Time: 316.99 min, Glucose Level: 194.894 mg/dL
Time: 317.99 min, Glucose Level: 194.655 mg/dL
Time: 318.99 min, Glucose Level: 194.417 mg/dL
Time: 319.99 min, Glucose Level: 194.18 mg/dL
Time: 320.99 min, Glucose Level: 193.942 mg/dL
Time: 321.99 min, Glucose Level: 193.705 mg/dL
Time: 322.99 min, Glucose Level: 193.468 mg/dL
Time: 323.99 min, Glucose Level: 193.232 mg/dL
Time: 324.99 min, Glucose Level: 192.995 mg/dL
Time: 325.99 min, Glucose Level: 192.76 mg/dL
Time: 326.99 min, Glucose Level: 192.524 mg/dL
Time: 327.99 min, Glucose Level: 192.289 mg/dL
Time: 328.99 min, Glucose Level: 192.055 mg/dL
Time: 329.99 min, Glucose Level: 191.821 mg/dL
Time: 330.99 min, Glucose Level: 191.587 mg/dL
Time: 331.99 min, Glucose Level: 191.354 mg/dL
Time: 332.99 min, Glucose Level: 191.121 mg/dL
Time: 333.99 min, Glucose Level: 190.889 mg/dL
Time: 334.99 min, Glucose Level: 190.657 mg/dL
Time: 335.99 min, Glucose Level: 190.426 mg/dL
Time: 336.99 min, Glucose Level: 190.195 mg/dL
Time: 337.99 min, Glucose Level: 189.965 mg/dL
Time: 338.99 min, Glucose Level: 189.736 mg/dL
Time: 339.99 min, Glucose Level: 189.507 mg/dL
Time: 340.99 min, Glucose Level: 189.278 mg/dL
Time: 341.99 min, Glucose Level: 189.05 mg/dL
Time: 342.99 min, Glucose Level: 188.823 mg/dL
Time: 343.99 min, Glucose Level: 188.596 mg/dL
Time: 344.99 min, Glucose Level: 188.37 mg/dL
Time: 345.99 min, Glucose Level: 188.145 mg/dL
Time: 346.99 min, Glucose Level: 187.92 mg/dL
Time: 347.99 min, Glucose Level: 187.696 mg/dL
Time: 348.99 min, Glucose Level: 187.472 mg/dL
Time: 349.99 min, Glucose Level: 187.249 mg/dL
Time: 350.99 min, Glucose Level: 187.027 mg/dL
Time: 351.99 min, Glucose Level: 186.805 mg/dL
Time: 352.99 min, Glucose Level: 186.584 mg/dL
Time: 353.99 min, Glucose Level: 186.364 mg/dL
Time: 354.99 min, Glucose Level: 186.145 mg/dL
Time: 355.99 min, Glucose Level: 185.926 mg/dL
Time: 356.99 min, Glucose Level: 185.708 mg/dL
Time: 357.99 min, Glucose Level: 185.49 mg/dL
Time: 358.99 min, Glucose Level: 185.274 mg/dL
Time: 359.99 min, Glucose Level: 185.058 mg/dL
Time: 360.99 min, Glucose Level: 184.843 mg/dL
Time: 361.99 min, Glucose Level: 184.628 mg/dL
Time: 362.99 min, Glucose Level: 184.415 mg/dL
Time: 363.99 min, Glucose Level: 184.202 mg/dL
Time: 364.99 min, Glucose Level: 183.989 mg/dL
Time: 365.99 min, Glucose Level: 183.778 mg/dL
Time: 366.99 min, Glucose Level: 183.567 mg/dL
Time: 367.99 min, Glucose Level: 183.358 mg/dL
Time: 368.99 min, Glucose Level: 183.148 mg/dL
Time: 369.99 min, Glucose Level: 182.94 mg/dL
Time: 370.99 min, Glucose Level: 182.733 mg/dL
Time: 371.99 min, Glucose Level: 182.526 mg/dL
Time: 372.99 min, Glucose Level: 182.32 mg/dL
Time: 373.99 min, Glucose Level: 182.115 mg/dL
Time: 374.99 min, Glucose Level: 181.911 mg/dL
Time: 375.99 min, Glucose Level: 181.707 mg/dL
Time: 376.99 min, Glucose Level: 181.505 mg/dL
Time: 377.99 min, Glucose Level: 181.303 mg/dL
Time: 378.99 min, Glucose Level: 181.102 mg/dL
Time: 379.99 min, Glucose Level: 180.902 mg/dL
Time: 380.99 min, Glucose Level: 180.702 mg/dL
Time: 381.99 min, Glucose Level: 180.504 mg/dL
Time: 382.99 min, Glucose Level: 180.306 mg/dL
Time: 383.99 min, Glucose Level: 180.11 mg/dL
Time: 384.99 min, Glucose Level: 179.914 mg/dL
Time: 385.99 min, Glucose Level: 179.718 mg/dL
Time: 386.99 min, Glucose Level: 179.524 mg/dL
Time: 387.99 min, Glucose Level: 179.331 mg/dL
Time: 388.99 min, Glucose Level: 179.138 mg/dL
Time: 389.99 min, Glucose Level: 178.946 mg/dL
Time: 390.99 min, Glucose Level: 178.756 mg/dL
Time: 391.99 min, Glucose Level: 178.566 mg/dL
Time: 392.99 min, Glucose Level: 178.376 mg/dL
Time: 393.99 min, Glucose Level: 178.188 mg/dL
Time: 394.99 min, Glucose Level: 178.001 mg/dL
Time: 395.99 min, Glucose Level: 177.814 mg/dL
Time: 396.99 min, Glucose Level: 177.629 mg/dL
Time: 397.99 min, Glucose Level: 177.444 mg/dL
Time: 398.99 min, Glucose Level: 177.26 mg/dL
Time: 399.99 min, Glucose Level: 177.077 mg/dL
Time: 400.99 min, Glucose Level: 176.895 mg/dL
Time: 401.99 min, Glucose Level: 176.713 mg/dL
Time: 402.99 min, Glucose Level: 176.533 mg/dL
Time: 403.99 min, Glucose Level: 176.353 mg/dL
Time: 404.99 min, Glucose Level: 176.175 mg/dL
Time: 405.99 min, Glucose Level: 175.997 mg/dL
Time: 406.99 min, Glucose Level: 175.82 mg/dL
Time: 407.99 min, Glucose Level: 175.644 mg/dL
Time: 408.99 min, Glucose Level: 175.468 mg/dL
Time: 409.99 min, Glucose Level: 175.294 mg/dL
Time: 410.99 min, Glucose Level: 175.121 mg/dL
Time: 411.99 min, Glucose Level: 174.948 mg/dL
Time: 412.99 min, Glucose Level: 174.776 mg/dL
Time: 413.99 min, Glucose Level: 174.605 mg/dL
Time: 414.99 min, Glucose Level: 174.435 mg/dL
Time: 415.99 min, Glucose Level: 174.266 mg/dL
Time: 416.99 min, Glucose Level: 174.098 mg/dL
Time: 417.99 min, Glucose Level: 173.931 mg/dL
Time: 418.99 min, Glucose Level: 173.764 mg/dL
Time: 419.99 min, Glucose Level: 173.599 mg/dL
Time: 420.99 min, Glucose Level: 173.434 mg/dL
Time: 421.99 min, Glucose Level: 173.27 mg/dL
Time: 422.99 min, Glucose Level: 173.107 mg/dL
Time: 423.99 min, Glucose Level: 172.945 mg/dL
Time: 424.99 min, Glucose Level: 172.783 mg/dL
Time: 425.99 min, Glucose Level: 172.623 mg/dL
Time: 426.99 min, Glucose Level: 172.463 mg/dL
Time: 427.99 min, Glucose Level: 172.305 mg/dL
Time: 428.99 min, Glucose Level: 172.147 mg/dL
Time: 429.99 min, Glucose Level: 171.99 mg/dL
Time: 430.99 min, Glucose Level: 171.834 mg/dL
Time: 431.99 min, Glucose Level: 171.678 mg/dL
Time: 432.99 min, Glucose Level: 171.524 mg/dL
Time: 433.99 min, Glucose Level: 171.37 mg/dL
Time: 434.99 min, Glucose Level: 171.218 mg/dL
Time: 435.99 min, Glucose Level: 171.066 mg/dL
Time: 436.99 min, Glucose Level: 170.915 mg/dL
Time: 437.99 min, Glucose Level: 170.765 mg/dL
Time: 438.99 min, Glucose Level: 170.615 mg/dL
Time: 439.99 min, Glucose Level: 170.467 mg/dL
Time: 440.99 min, Glucose Level: 170.319 mg/dL
Time: 441.99 min, Glucose Level: 170.172 mg/dL
Time: 442.99 min, Glucose Level: 170.026 mg/dL
Time: 443.99 min, Glucose Level: 169.881 mg/dL
Time: 444.99 min, Glucose Level: 169.737 mg/dL
Time: 445.99 min, Glucose Level: 169.593 mg/dL
Time: 446.99 min, Glucose Level: 169.45 mg/dL
Time: 447.99 min, Glucose Level: 169.309 mg/dL
Time: 448.99 min, Glucose Level: 169.168 mg/dL
Time: 449.99 min, Glucose Level: 169.027 mg/dL
BREAKFAST TIME
Time: 450.99 min, Glucose Level: 168.888 mg/dL
Time: 451.99 min, Glucose Level: 168.75 mg/dL
Time: 452.99 min, Glucose Level: 168.612 mg/dL
Time: 453.99 min, Glucose Level: 168.475 mg/dL
Time: 454.99 min, Glucose Level: 168.34 mg/dL
Time: 455.99 min, Glucose Level: 168.205 mg/dL
Time: 456.99 min, Glucose Level: 168.071 mg/dL
Time: 457.99 min, Glucose Level: 167.937 mg/dL
Time: 458.99 min, Glucose Level: 167.805 mg/dL
Time: 459.99 min, Glucose Level: 167.674 mg/dL
Time: 460.99 min, Glucose Level: 167.543 mg/dL
Time: 461.99 min, Glucose Level: 167.413 mg/dL
Time: 462.99 min, Glucose Level: 167.284 mg/dL
Time: 463.99 min, Glucose Level: 167.156 mg/dL
Time: 464.99 min, Glucose Level: 167.029 mg/dL
Time: 465.99 min, Glucose Level: 166.902 mg/dL
Time: 466.99 min, Glucose Level: 166.777 mg/dL
Time: 467.99 min, Glucose Level: 166.652 mg/dL
Time: 468.99 min, Glucose Level: 166.528 mg/dL
Time: 469.99 min, Glucose Level: 166.405 mg/dL
Time: 470.99 min, Glucose Level: 166.282 mg/dL
Time: 471.99 min, Glucose Level: 166.16 mg/dL
Time: 472.99 min, Glucose Level: 166.039 mg/dL
Time: 473.99 min, Glucose Level: 165.919 mg/dL
Time: 474.99 min, Glucose Level: 165.8 mg/dL
Time: 475.99 min, Glucose Level: 165.681 mg/dL
Time: 476.99 min, Glucose Level: 165.563 mg/dL
Time: 477.99 min, Glucose Level: 165.446 mg/dL
Time: 478.99 min, Glucose Level: 165.33 mg/dL
Time: 479.99 min, Glucose Level: 165.214 mg/dL
Time: 480.99 min, Glucose Level: 165.099 mg/dL
Time: 481.99 min, Glucose Level: 164.985 mg/dL
Time: 482.99 min, Glucose Level: 164.871 mg/dL
Time: 483.99 min, Glucose Level: 164.758 mg/dL
Time: 484.99 min, Glucose Level: 164.646 mg/dL
Time: 485.99 min, Glucose Level: 164.535 mg/dL
Time: 486.99 min, Glucose Level: 164.424 mg/dL
Time: 487.99 min, Glucose Level: 164.314 mg/dL
Time: 488.99 min, Glucose Level: 164.205 mg/dL
Time: 489.99 min, Glucose Level: 164.097 mg/dL
Time: 490.99 min, Glucose Level: 163.989 mg/dL
Time: 491.99 min, Glucose Level: 163.882 mg/dL
Time: 492.99 min, Glucose Level: 163.775 mg/dL
Time: 493.99 min, Glucose Level: 163.669 mg/dL
Time: 494.99 min, Glucose Level: 163.564 mg/dL
Time: 495.99 min, Glucose Level: 163.46 mg/dL
Time: 496.99 min, Glucose Level: 163.356 mg/dL
Time: 497.99 min, Glucose Level: 163.253 mg/dL
